Var1,Var2,Var3,Var4,Var5,Var6,Var7
Munida chydaea,0.2758914,6.299002,0,0.6725664,108,Arthropoda
Munida congesta,0.171105,6.415947,0,0.2938389,51,Arthropoda
Munida delicata,0.1367673,7.452395,0.01293487,0.3670412,36,Arthropoda
Munida distiza,0.2026761,6.671822,0,0.4489796,47,Arthropoda
Munida eclepsis,0.1985004,6.354725,-0.001,0.3319149,67,Arthropoda
Munida endeavourae,1.137376,1.393634,0.07699022,0.4761904,176,Arthropoda
Munida evarne,0.1434836,6.161728,-0.0003027853,0.6046512,34,Arthropoda
Munida fasciata,-0.02308033,4.877338,0,0.5714285,26,Arthropoda
Munida flinti,0.3287256,9.591773,0,0.6010929,79,Arthropoda
Munida forceps,0.3678918,9.330082,0,0.6515837,77,Arthropoda
Munida galaxaura,0.2966433,8.341151,0,0.3846154,24,Arthropoda
Munida gilii,0.2271503,7.692171,0,0.7407408,78,Arthropoda
Munida gordoae,0.7386846,16.09407,0,0.6,47,Arthropoda
Munida gracilis,0.2812189,5.733532,0.08530308,0.712963,520,Arthropoda
Munida gregaria,0.2222568,5.46187,0.0250406,0.75,332,Arthropoda
Munida guttata,0.1854042,7.063972,0,0.5714285,131,Arthropoda
Munida haswelli,0.08475798,6.335155,0,0.675,157,Arthropoda
Munida idyia,0.3593966,8.900939,0.001815312,0.3802817,55,Arthropoda
Munida inornata,0.1073859,6.020539,0,0.4297521,26,Arthropoda
Munida intermedia,0.246833,6.633193,0.04895909,0.5663717,439,Arthropoda
Munida iris,0.2848988,8.101304,0,0.7539682,402,Arthropoda
Munida irrasa,0.3400054,9.327563,0,0.8411215,167,Arthropoda
Munida isos,0.2423132,5.313933,0,0.5477707,487,Arthropoda
Munida japonica,0.6105379,15.65376,0,0.5555556,27,Arthropoda
Munida kuboi,0.09068911,16.2397,0.02659178,0.3776824,31,Arthropoda
Munida leagora,0.2135955,7.434768,0,0.5510204,168,Arthropoda
Munida leptitis,0.4646924,12.1989,0,0.4957983,93,Arthropoda
Munida llenasi,-0.004781842,5.728726,0.09473772,0.5,26,Arthropoda
Munida longicheles,0.09038191,5.607254,0,0.5846153,21,Arthropoda
Munida magniantennulata,1.012059,1.603932,-0.0005257614,0.317757,28,Arthropoda
Munida masi,0.2663035,7.708215,0,0.5544555,23,Arthropoda
Munida microphthalma,1.610779,1.035248,0.00860463,0.3269231,36,Arthropoda
Munida notata,0.2272871,7.608224,0,0.7482994,374,Arthropoda
Munida ocellata,0.06543826,5.710029,0,0.4533333,19,Arthropoda
Munida olivarae,-1.159228,1.083717,0.08192187,0.5897436,22,Arthropoda
Munida ommata,-2.057655,1.073128,0.08214676,0.4130435,34,Arthropoda
Munida pagesi,0.1869889,6.838382,0,0.4444444,50,Arthropoda
Munida parca,0.1649758,6.563996,0,0.4285714,16,Arthropoda
Munida philippinensis,0.06652749,16.97359,0.0437769,0.2645915,44,Arthropoda
Munida profunda,1.382363,1.072201,0.001534017,0.345679,27,Arthropoda
Munida pusilla,0.1970841,7.657805,0,0.7936508,242,Arthropoda
Munida pygmaea,1.44616,1.441005,0.01710257,0.2666667,47,Arthropoda
Munida quadrispina,0.5203732,4.379941,0,0.6888889,769,Arthropoda
Munida rhodonia,0.1866734,6.91845,0,0.4855967,289,Arthropoda
Munida rogeri,0.1907939,6.720343,0,0.4660194,47,Arthropoda
Munida rubridigitalis,-2.05959,1.502671,0.07390065,0.4625,185,Arthropoda
Munida rubrovata,0.03368434,5.189067,0,0.5833334,20,Arthropoda
Munida rufiantennulata,-1.841055,1.268563,0.07519544,0.3495145,109,Arthropoda
Munida rugosa,0.08727697,6.530813,0.06209125,0.699115,1167,Arthropoda
Munida runcinata,0.2138605,7.751738,0,0.4676617,96,Arthropoda
Munida sacksi,0.568195,7.857101,0,0.2393162,17,Arthropoda
Munida sanctipauli,0.4785148,5.232888,0,0.5818182,16,Arthropoda
Munida sao,0.2200139,7.126455,0,0.5526316,77,Arthropoda
Munida sarsi,0.09698842,5.385067,0,0.7155963,474,Arthropoda
Munida semoni,0.242922,7.831223,0,0.8095238,133,Arthropoda
Munida simplex,0.3561717,8.895875,0,0.6506024,52,Arthropoda
Munida simulatrix,0.1136769,6.379638,0,0.5,34,Arthropoda
Munida speciosa,0.6479143,6.108934,0,0.5909091,361,Arthropoda
Munida spinifrons,0.2265225,7.704805,0,0.754717,32,Arthropoda
Munida spinosa,0.846954,1.880619,0,0.6666666,15,Arthropoda
Munida stia,-1.801933,2.097905,0.08454389,0.2835821,44,Arthropoda
Munida stigmatica,0.7245971,8.38073,0,0.4,45,Arthropoda
Munida stimpsoni,0.2632918,9.982653,0.02259185,0.3228347,19,Arthropoda
Munida taenia,0.281876,7.488328,0,0.5346534,97,Arthropoda
Munida tenuimana,1.689737,1.996678,0.07991699,0.6096257,286,Arthropoda
Munida thoe,0.2114875,7.199326,0,0.3417085,247,Arthropoda
Munida tyche,0.2928647,8.610081,0,0.7826087,70,Arthropoda
Munida typhle,-2.862345,1.071267,0.08427765,0.3,32,Arthropoda
Munida valida,0.2663266,9.657721,0.09961229,0.6530612,275,Arthropoda
Munidopsis alaminos,0.3891794,8.184749,0.0664508,0.2788461,32,Arthropoda
Munidopsis andamanica,-0.1779138,3.879327,0,0.362069,196,Arthropoda
Munidopsis antonii,0.9509559,1.329343,-0.001,0.3823529,38,Arthropoda
Munidopsis aries,0.4090111,2.088956,0.02811758,0.6315789,20,Arthropoda
Munidopsis bairdii,-0.1759008,5.766997,0,0.6666666,15,Arthropoda
Munidopsis bermudezi,0.6491882,1.545115,0.05608346,0.5217391,45,Arthropoda
Munidopsis bispinoculata,0.0837404,16.18361,0.00360531,0.3560209,73,Arthropoda
Munidopsis brevimanus,0.4838227,10.85284,0.07004485,0.2254902,21,Arthropoda
Munidopsis carinimarginata,1.655341,4.454854,0.06263713,0.3012552,43,Arthropoda
Munidopsis chuni,1.286508,7.233418,0,0.3834197,24,Arthropoda
Munidopsis comarge,0.3351655,4.890158,0,0.5,24,Arthropoda
Munidopsis crassa,0.6398023,1.289069,0.0952199,0.3783784,41,Arthropoda
Munidopsis dasypus,1.999064,1.207963,8.429752e-05,0.2117647,19,Arthropoda
Munidopsis geyeri,0.3803814,2.342696,0.0797563,0.72,29,Arthropoda
Munidopsis kaiyoae,0.3671796,5.025979,0,0.7323943,40,Arthropoda
Munidopsis kensleyi,1.51532,1.169311,0.009196915,0.2881356,54,Arthropoda
Munidopsis lauensis,0.1,50,0,0.06315792,67,Arthropoda
Munidopsis myojinensis,1.624664,1.65812,0.03098474,0.1,27,Arthropoda
Munidopsis nitida,1.465336,1.14254,-0.0009740462,0.3670886,127,Arthropoda
Munidopsis parfaiti,0.01426142,4.301569,0.03517813,0.25,34,Arthropoda
Munidopsis pilosa,-0.2606837,28.3836,0.006394671,0.3801653,30,Arthropoda
Munidopsis polita,0.2423059,10.00446,0,0.2569832,37,Arthropoda
Munidopsis recta,0.5561678,3.604403,0.03370351,0.3243243,27,Arthropoda
Munidopsis riveroi,0.1545834,10.25735,0,0.2677165,64,Arthropoda
Munidopsis robusta,0.8130569,10.97605,0.02557904,0.3435583,118,Arthropoda
Munidopsis ryukyuensis,1.62724,1.274381,0.0008083139,0.1846154,30,Arthropoda
Munidopsis serricornis,1.146277,4.952944,0,0.6268657,69,Arthropoda
Munidopsis sigsbei,1.862311,1.25406,0.007357272,0.3067484,86,Arthropoda
Munidopsis simplex,1.215977,1.01106,-0.0001590655,0.4074074,46,Arthropoda
Munidopsis sinclairi,0.1716997,14.36539,0,0.3833333,39,Arthropoda
Munidopsis spinoculata,-0.8818254,31.22037,0.01520353,0.2056075,13,Arthropoda
Munidopsis subsquamosa,1.299896,1.002171,-0.0007644138,0.2201835,75,Arthropoda
Munidopsis tasmaniae,0.2006369,5.266809,0,0.4065041,25,Arthropoda
Munidopsis trifida,1.974375,1.219849,-0.0001063139,0.3164557,31,Arthropoda
Munidopsis victoriae,0.3894106,4.498265,0,0.5238096,19,Arthropoda
Munna acanthifera,0.7354325,1.031212,0.07247742,0.6262627,121,Arthropoda
Munna antarctica,0.2724408,3.116007,0.003814895,0.6101695,17,Arthropoda
Munna boeckii,0.2542195,4.48264,0.04951169,0.5179856,29,Arthropoda
Munna fabricii,0.2311912,4.923305,0,0.7205882,116,Arthropoda
Munna hanseni,0.05597574,4.614779,0,0.4,11,Arthropoda
Munna kroyeri,0.06195549,5.106164,0,0.7674419,94,Arthropoda
Munna limicola,0.3384539,4.904623,0,0.5961539,27,Arthropoda
Munna minuta,0.282396,4.988909,0,0.7727273,116,Arthropoda
Munneurycope murrayi,0.8152373,1.562567,0.09867374,0.3636364,45,Arthropoda
Munnogonium tillerae,0.9157897,4.667343,0,0.7254902,97,Arthropoda
Munnopsis typica,0.5342562,2.696871,0.04517369,0.7692308,462,Arthropoda
Munnopsoides eximius,0.4387475,2.359699,0.08020367,0.5098039,18,Arthropoda
Munnopsurus giganteus,0.1591098,4.201936,0.0006618563,0.372549,24,Arthropoda
Mursia armata,0.1837441,6.968041,0,0.7272727,94,Arthropoda
Mursia australiensis,0.09444414,6.150511,0,0.5961539,63,Arthropoda
Mursia cristiata,0.2921555,7.55512,0,0.7964602,2141,Arthropoda
Mursia curtispina,0.1589814,6.496495,0,0.5833334,22,Arthropoda
Mursia longispina,-0.07761506,4.569091,0,0.525,21,Arthropoda
Mursia spinimanus,0.1276756,5.740746,0,0.4848485,37,Arthropoda
Myra affinis,0.05364834,5.737074,0,0.6415094,67,Arthropoda
Myra curtimana,-0.9088425,2.426427,0.09998304,0.7073171,55,Arthropoda
Myra elegans,0.9175074,31.79287,0,0.84,14,Arthropoda
Myra fugax,0.3017963,9.361104,0,0.7517731,282,Arthropoda
Myra mammillaris,0.2913979,9.134109,0,0.7666667,148,Arthropoda
Myra subgranulata,0.0403247,5.128792,0,0.4545454,72,Arthropoda
Myrine kesslerii,-0.7817031,2.105861,0.08145887,0.8,413,Arthropoda
Myropsis quinquespinosa,0.4052772,10.28808,0,0.839779,174,Arthropoda
Mysideis insignis,0.1234256,4.903965,0.01658387,0.6133333,117,Arthropoda
Mysidella typica,0.1370049,4.390472,0.02875682,0.5365853,20,Arthropoda
Mysidetes dimorpha,0.1628387,4.062152,0,0.6896552,17,Arthropoda
Mysidetes intermedia,0.3737364,3.401529,0.06364872,0.462963,20,Arthropoda
Mysidetes macrops,0.4160442,3.421765,0,0.5909091,25,Arthropoda
Mysidetes microps,1.411983,0.48677,0,0.5365853,24,Arthropoda
Mysidetes patagonica,0.08101439,4.917623,0,0.6037736,18,Arthropoda
Mysidetes posthon,0.9125001,1.357805,0.05796038,0.6869565,210,Arthropoda
Mysidopsis acuta,0.325385,4.570495,0,0.7768595,67,Arthropoda
Mysidopsis didelphys,0.1246285,5.159142,0.03395622,0.7613636,171,Arthropoda
Mysidopsis furca,0.1791615,6.938317,0,0.7659575,103,Arthropoda
Mysidopsis gibbosa,0.09844816,5.449173,0,0.7883211,465,Arthropoda
Mysis mixta,0.1531416,5.122588,0,0.7421384,1098,Arthropoda
Mysis oculata,0.6988063,1.640897,0.01738682,0.757764,243,Arthropoda
Mysis polaris,0.780075,1.151969,0.01868531,0.5567011,54,Arthropoda
Mysis relicta,0.17201,4.304543,0.01559736,0.48,2312,Arthropoda
Mystriocentrus serratus,0.3164487,4.109955,0.06360618,0.637931,31,Arthropoda
Nagada uwedoae,0.1929061,7.247623,0,0.6666666,91,Arthropoda
Najna consiliorum,0.9929764,1,0.01939926,0.5762712,17,Arthropoda
Nannastacus longirostris,0.153524,5.571765,0,0.6666666,15,Arthropoda
Nannocalanus minor,0.599256,33.66126,0,0.8897796,24217,Arthropoda
Nannoniscus oblongus,0.1162324,4.537511,0,0.5862069,89,Arthropoda
Nannosquilloides occultus,0.131953,5.612041,0,0.5777777,12,Arthropoda
Nanoplax xanthiformis,0.1203364,6.436747,0,0.7272727,60,Arthropoda
Narapheonoides mullaya,0.0005899165,5.126312,0,0.5,48,Arthropoda
Natatolana aotearoa,0.2828479,5.271814,0,0.6222222,16,Arthropoda
Natatolana arcicauda,0.2042025,6.973894,0,0.5333333,22,Arthropoda
Natatolana borealis,0.1406674,6.038737,0,0.7867647,763,Arthropoda
Natatolana bulba,0.1469637,6.518246,0,0.6206896,191,Arthropoda
Natatolana corpulenta,0.01883308,5.196305,0,0.5494505,403,Arthropoda
Natatolana gallica,0.2209715,5.38945,0.05044844,0.7464789,81,Arthropoda
Natatolana gracilis,0.08870053,5.846757,0,0.6666666,34,Arthropoda
Natatolana hirtipes,0.331083,7.134926,0,0.7142857,64,Arthropoda
Natatolana japonensis,0.0009246027,5.246438,0,0.7438017,159,Arthropoda
Natatolana matong,0.05152882,6.197234,0,0.5531915,46,Arthropoda
Natatolana meridionalis,1.014441,1.013012,-0.0008490495,0.4477612,29,Arthropoda
Natatolana nitida,0.9856231,1.062423,0.06729443,0.5,15,Arthropoda
Natatolana pilula,0.218913,6.026339,0,0.7,29,Arthropoda
Natatolana rossi,0.03549077,5.287936,0,0.6557377,24,Arthropoda
Natatolana vieta,0.08735762,6.033723,0,0.608,90,Arthropoda
Natatolana wowine,0.1007032,6.080039,0,0.6153846,123,Arthropoda
Nauticaris marionis,0.119577,5.775323,0,0.5785124,145,Arthropoda
Nautilocorystes ocellatus,0.2122366,6.335215,0,0.7384615,22,Arthropoda
Naxioides hirtus,-0.8901594,1.108589,0.07596219,0.6027397,15,Arthropoda
Naxioides robillardi,0.8064523,21.29146,0,0.5185185,50,Arthropoda
Naxioides taurus,0.1700015,7.177175,0,0.7540984,87,Arthropoda
Nealocythere schornikovi,0.8672997,1.100365,0.06179992,0.4918033,28,Arthropoda
Neastacilla attenuata,0.06916466,6.345603,0,0.6625,54,Arthropoda
Neastacilla bacillus,0.07938412,7.449407,0.05454298,0.5193371,21,Arthropoda
Neastacilla californica,0.0485957,4.844187,0,0.6666666,16,Arthropoda
Neastacilla lawadi,-0.9108911,1.574857,0.08948709,0.5714285,25,Arthropoda
Neastacilla marionensis,0.9245142,1.360142,0.09220217,0.6436782,19,Arthropoda
Nebalia bipes,0.08735371,5.481807,0.00107366,0.7365854,1243,Arthropoda
Nebalia capensis,-0.0122347,5.604944,0.0999495,0.5473684,17,Arthropoda
Nebalia herbstii,0.08052762,5.421577,0.02588455,0.8441558,301,Arthropoda
Nebalia reboredae,0.01303001,5.332891,0,0.6422018,44,Arthropoda
Nebaliopsis typica,-0.5946207,5.734607,0.07694014,0.3962264,20,Arthropoda
Necallianassa truncata,0.1453077,5.565285,0,0.6538461,41,Arthropoda
Nectocarcinus antarcticus,0.1776455,5.798747,0,0.7906977,145,Arthropoda
Nectocarcinus bennetti,0.02362767,5.637357,0,0.6966292,134,Arthropoda
Nematobrachion flexipes,0.6306027,13.94566,0,0.7329843,547,Arthropoda
Nematobrachion sexspinosum,0.4926786,6.988187,0,0.5210084,213,Arthropoda
Nematocarcinus africanus,0.2073419,36.97827,0.0002381971,0.29375,652,Arthropoda
Nematocarcinus combensis,1.814786,1.268606,0.0002623409,0.2709677,20,Arthropoda
Nematocarcinus ensifer,0.02734882,6.649932,0.04463551,0.3346938,160,Arthropoda
Nematocarcinus longirostris,0.9840879,1.01388,0.06256514,0.5533981,172,Arthropoda
Nematocarcinus paucidentatus,0.5962707,3.504585,-0.0006167941,0.3684211,26,Arthropoda
Nematocarcinus productus,0.9939106,2.992696,0.07928209,0.3888889,92,Arthropoda
Nematocarcinus richeri,0.773526,7.697748,0,0.4081632,19,Arthropoda
Nematocarcinus rotundus,0.08493054,6.681113,0.0995655,0.5743243,343,Arthropoda
Nematocarcinus tenuipes,1.424988,1,-0.0007759049,0.4393939,63,Arthropoda
Nematocarcinus tenuirostris,-0.02983521,4.813219,0,0.5294118,65,Arthropoda
Nematocarcinus undulatipes,1.444291,4.31382,0.0633973,0.2516129,49,Arthropoda
Nematopagurus alcocki,1.130309,28.5283,0,0.48,21,Arthropoda
Nematopagurus australis,-0.00600931,6.295059,0.02078425,0.6454545,45,Arthropoda
Nematopagurus diadema,0.5433165,11.60765,0,0.6216216,18,Arthropoda
Nematopagurus gardineri,0.1457605,6.365685,0,0.6896552,30,Arthropoda
Nematopagurus lepidochirus,0.286465,11.16467,0,0.3428571,35,Arthropoda
Nematopagurus lewinsohni,-0.7675799,2.183021,0,0.5652174,22,Arthropoda
Nematopagurus meiringae,0.4990423,11.45794,0,0.5989305,73,Arthropoda
Nematopagurus richeri,0.1469654,6.379522,0,0.4222222,18,Arthropoda
Nematopagurus spinulosensoris,0.2258948,7.730388,0,0.5333333,154,Arthropoda
Nematopagurus vallatus,-0.7554975,1.995199,0.08587738,0.6557377,34,Arthropoda
Nematoscelis atlantica,0.3070942,7.156763,0,0.7511737,381,Arthropoda
Nematoscelis difficilis,0.5374324,5.932363,0,0.7027027,170,Arthropoda
Nematoscelis gracilis,0.2483966,6.528236,0.09981608,0.6344827,65,Arthropoda
Nematoscelis megalops,0.5834558,7.243819,0,0.8584071,1829,Arthropoda
Nematoscelis microps,0.3890159,8.549827,0,0.6936027,469,Arthropoda
Nematoscelis tenella,0.8799801,15.196,-0.001,0.5385996,142,Arthropoda
Nemausa acuticornis,0.2140323,7.843312,0,0.8316832,282,Arthropoda
Neobathymysis renoculata,0.1603639,8.436215,0.009266503,0.295203,17,Arthropoda
Neocalanus cristatus,0.7017338,5.654961,0.07797199,0.7911276,9530,Arthropoda
Neocalanus flemingeri,0.1588837,6.077416,0,0.7715736,2811,Arthropoda
Neocalanus gracilis,0.7780722,24.20207,0,0.8857143,10837,Arthropoda
Neocalanus plumchrus,0.1326302,6.194428,0,0.7915408,8541,Arthropoda
Neocalanus robustior,0.2652471,9.124804,0,0.8594378,1580,Arthropoda
Neocrangon abyssorum,0.1178345,54.24959,-0.001,0.2156863,29,Arthropoda
Neognathophausia ingens,0.07317203,12.77621,0.09891645,0.6915888,341,Arthropoda
Neogoneplax renoculis,0.641785,19.86007,0,0.4125874,41,Arthropoda
Neogoneplax serratipes,0.03695295,5.860929,0.015291,0.5894737,37,Arthropoda
Neogonodactylus bredini,0.1340704,7.301407,0,0.7733333,647,Arthropoda
Neogonodactylus lacunatus,0.1654424,6.711136,0,0.7272727,24,Arthropoda
Neogonodactylus torus,0.2911189,8.505222,0,0.8444445,126,Arthropoda
Neogonodactylus wennerae,0.04117812,5.293461,0,0.6956522,43,Arthropoda
Neogonodactylus zacae,NaN,NaN,0,0.7241379,16,Arthropoda
Neohela monstrosa,0.6331683,2.338577,0.07060326,0.5408805,293,Arthropoda
Neohyssura irpex,0.2694957,8.081431,0,0.8,289,Arthropoda
Neolithodes asperrimus,0.2990521,13.53782,0,0.481203,13,Arthropoda
Neolithodes bronwynae,1.004604,1.343016,0.07798436,0.3370786,21,Arthropoda
Neomegamphopus kalanii,-0.5730675,2.566406,0.0587655,0.7179487,34,Arthropoda
Neommatocarcinus huttoni,0.2126908,5.802913,0,0.7252747,25,Arthropoda
Neomormonilla minor,0.3076713,7.9535,0,0.640553,1042,Arthropoda
Neomormonilla polaris,0.4414184,2.359955,-0.0009074378,0.6236559,333,Arthropoda
Neomysis americana,0.1121694,6.015739,0,0.7931035,923,Arthropoda
Neomysis kadiakensis,0.08026239,4.993836,0,0.6315789,20,Arthropoda
Neomysis rayii,0.5472524,2.567241,0.08024262,0.6808511,67,Arthropoda
Neonesidea longisetosa,0.3815017,9.401819,0,0.7118644,20,Arthropoda
Neonesidea villosa,1.21437,1.041703,0.06303558,0.5882353,32,Arthropoda
Neopalicus jukesii,0.2678849,9.149912,0,0.7575758,174,Arthropoda
Neopilumnoplax nieli,0.1853094,5.942939,0,0.5464481,114,Arthropoda
Neopleustes boecki,0.9548782,1.320679,0.05907704,0.559322,38,Arthropoda
Neopleustes pulchellus,-0.010651,6.501043,0.001612885,0.5787234,90,Arthropoda
Neopontonides beaufortensis,0.0532962,5.857113,-0.0007658306,0.7205882,51,Arthropoda
Neoscolecithrix farrani,0.7485608,1.018816,0.02779882,0.5079365,185,Arthropoda
Neosergestes edwardsii,0.7154825,17.98044,0,0.8686327,297,Arthropoda
Neosergestes orientalis,0.2406431,7.410163,0,0.6836735,111,Arthropoda
Neoserolis exigua,0.1846921,5.19708,0,0.6734694,53,Arthropoda
Neotanais affinis,-1.037842,3.679223,0.03629074,0.2432432,39,Arthropoda
Neotanais americanus,0.636411,1.664004,0.0005814322,0.5436893,92,Arthropoda
Neotanais antarcticus,0.938529,1.018912,0.06031626,0.421875,20,Arthropoda
Neotanais armiger,1.011577,1.22208,7.086372e-05,0.3611111,38,Arthropoda
Neotanais hastiger,0.8134083,1.172449,0.09979665,0.2857143,28,Arthropoda
Neotanais laevispinosus,0.1734466,5.695313,0,0.3396226,11,Arthropoda
Neotanais micromopher,0.541494,1.584376,0.04918335,0.5333333,81,Arthropoda
Neotanais peculiaris,1.022126,1.013091,0.08595058,0.4347826,21,Arthropoda
Neotanais sandersi,0.8967888,1.004732,0.08020599,0.4375,41,Arthropoda
Neotrypaea californiensis,0.1036277,5.127472,0,0.7142857,145,Arthropoda
Neoxenodice hoshiai,0.8708755,1.020727,0.05946203,0.475,15,Arthropoda
Neoxenophthalmus obscurus,-0.01449579,4.896968,0,0.6666666,38,Arthropoda
Nephropides caribaeus,-0.6870784,24.93019,0.009484967,0.2754491,29,Arthropoda
Nephrops norvegicus,0.2120457,6.483506,0,0.8262911,25075,Arthropoda
Nephropsis acanthura,1.481218,2.210027,0.0490615,0.509434,79,Arthropoda
Nephropsis aculeata,0.3513216,9.507399,0,0.6890756,434,Arthropoda
Nephropsis agassizii,1.297334,1.037113,-0.0009327317,0.3188406,64,Arthropoda
Nephropsis atlantica,1.883036,2.51038,0,0.5822785,46,Arthropoda
Nephropsis ensirostris,-2.609918,1.023339,0.0886273,0.2162162,21,Arthropoda
Nephropsis rosea,0.3195624,9.198531,0.0008363829,0.4334086,213,Arthropoda
Nephropsis serrata,NaN,NaN,0,0.5714285,101,Arthropoda
Nephropsis stewarti,-2.456883,1.061579,0.07964562,0.3220339,99,Arthropoda
Nephropsis sulcata,1.973176,1.217754,0.002102301,0.3272727,63,Arthropoda
Nereina finmarchica,0.7307427,1.192591,0.07748636,0.6086956,60,Arthropoda
Nerocila armata,-0.01327088,5.705661,0.03777113,0.6853147,27,Arthropoda
Netamelita barnardi,0.6021242,15.31388,0,0.7878788,100,Arthropoda
Netamelita brocha,0.1564215,6.497896,0,0.6956522,114,Arthropoda
Nibilia antilocapra,0.3057552,8.548401,0,0.7205882,50,Arthropoda
Nicippe tumida,1.419969,4.135341,0,0.7849462,401,Arthropoda
Nigmatullinus acanthitelsonis,1.12599,1.017753,-0.001,0.3768116,47,Arthropoda
Nikoides gurneyi,0.4793032,12.54163,0,0.6984127,27,Arthropoda
Nikoides schmitti,0.1581818,6.907114,0,0.6545454,27,Arthropoda
Nikoides sibogae,0.397085,11.00531,0,0.796875,181,Arthropoda
Normanella mucronata,0.6644543,5.202348,0.07795697,0.6071429,52,Arthropoda
Normanicythere leioderma,0.2146372,4.084467,0,0.7552447,147,Arthropoda
Normanion quadrimanus,0.05931437,5.006451,0,0.6666666,60,Arthropoda
Notobalanus vestitus,0.1440993,5.543818,0,0.6728972,25,Arthropoda
Notocrangon antarcticus,0.5766088,2.560726,-0.0004541811,0.7837838,410,Arthropoda
Notomegabalanus decorus,0.1474626,5.718081,0,0.7070707,88,Arthropoda
Notomithrax peronii,0.1486037,6.382862,0.04538186,0.6555555,52,Arthropoda
Notonyx nitidus,0.0651557,5.746803,0,0.7307692,31,Arthropoda
Notopais spinosa,0.6479588,2.194548,0.08811123,0.4086022,23,Arthropoda
Notopandalus magnoculus,0.2741157,6.046533,0,0.7514451,206,Arthropoda
Notopoma oppositus,1.235088,1.135767,0.07047702,0.4736842,58,Arthropoda
Notosceles serratifrons,1.348109,57.02119,0,0.6890756,39,Arthropoda
Notostomus elegans,0.2304314,11.23794,0.05462827,0.5277162,111,Arthropoda
Notostomus gibbosus,1.744585,1.269711,0.005495093,0.4333333,93,Arthropoda
Notostomus robustus,1.06556,1.027615,0.07275955,0.5352113,64,Arthropoda
Nototanais antarcticus,0.7558333,1.42359,0.03477724,0.6363636,262,Arthropoda
Nototanais dimorphus,0.836977,1.334732,0.03026489,0.7352941,453,Arthropoda
Nototanoides trifurcatus,0.1310481,6.083284,0,0.5866667,19,Arthropoda
Nototropis nordlandicus,0.1413302,4.665315,0,0.6567164,220,Arthropoda
Nototropis smitti,0.1907749,4.289226,0,0.6923077,144,Arthropoda
Nototropis vedlomensis,0.08522674,5.384108,0,0.8135593,4275,Arthropoda
Nullosetigera bidentata,0.7211884,12.54928,0,0.3333333,54,Arthropoda
Nullosetigera helgae,0.2987444,6.799242,0.09990998,0.4979592,138,Arthropoda
Nullosetigera impar,1.539872,5.566251,0.08155687,0.3333333,49,Arthropoda
Nursia minor,-0.01981338,4.923449,0,0.605042,14,Arthropoda
Nursilia tonsor,0.4250424,10.98689,0,0.691358,110,Arthropoda
Nyctiphanes australis,0.08205326,5.801477,0,0.7142857,1760,Arthropoda
Nymphon adareanum,0.8613148,1.00572,0.06349463,0.5517241,37,Arthropoda
Nymphon australe,1.056502,1.12642,-0.001,0.7979798,970,Arthropoda
Nymphon biarticulatum,1.120525,1.062569,0.00175023,0.6387435,91,Arthropoda
Nymphon brevicaudatum,0.7857108,1.729024,0,0.6923077,133,Arthropoda
Nymphon brevirostre,0.3304045,6.382059,0.03773168,0.7713498,2415,Arthropoda
Nymphon clarencei,0.4731529,2.832023,0.08213115,0.6470588,17,Arthropoda
Nymphon elegans,0.7023851,1.319107,0.0354492,0.6407767,116,Arthropoda
Nymphon eltaninae,-0.2358709,13.95799,0,0.6206896,41,Arthropoda
Nymphon floridanum,0.4125551,10.45042,0,0.7027027,32,Arthropoda
Nymphon gracilipes,1.133772,1.043921,0.03334961,0.6597939,53,Arthropoda
Nymphon grossipes,0.3901337,5.681274,0,0.7234043,406,Arthropoda
Nymphon helleri,0.05132519,4.736231,0,0.4615384,104,Arthropoda
Nymphon hiemale,0.8340069,1.435657,0.02629978,0.6783626,100,Arthropoda
Nymphon hirtipes,0.07073636,5.308541,0,0.5670498,101,Arthropoda
Nymphon hirtum,0.133523,5.128715,0,0.7142857,83,Arthropoda
Nymphon leptocheles,1.260509,1.141508,0.08593838,0.5203252,152,Arthropoda
Nymphon longicoxa,0.7484732,2.209048,0,0.6481482,90,Arthropoda
Nymphon longitarse,0.4227774,4.784964,0.04816601,0.6303502,79,Arthropoda
Nymphon macronyx,0.2007947,4.202809,-0.001,0.6086956,157,Arthropoda
Nymphon macrum,0.04130101,7.755684,0,0.5221674,116,Arthropoda
Nymphon mendosum,0.9370443,1.202788,0.0009937778,0.7457627,90,Arthropoda
Nymphon microrhynchum,0.183705,3.465779,-0.001,0.5,15,Arthropoda
Nymphon multidens,0.2115107,4.246653,-0.0003958466,0.4731183,17,Arthropoda
Nymphon multituberculatum,0.2410589,5.06341,0.08058723,0.5087719,17,Arthropoda
Nymphon neelovi,0.4252918,2.779907,0,0.5581396,16,Arthropoda
Nymphon novaehollandiae,-0.08443031,5.562831,0.04949433,0.5396825,19,Arthropoda
Nymphon paucidens,0.6669232,2.139199,0,0.5454545,18,Arthropoda
Nymphon pfefferi,0.8391498,1.30715,0,0.625,15,Arthropoda
Nymphon proximum,0.5626701,2.910924,0.09088282,0.6666666,72,Arthropoda
Nymphon rottnesti,-0.05483662,4.732011,0,0.4782609,14,Arthropoda
Nymphon sluiteri,0.6880748,1.282282,-0.001,0.5714285,88,Arthropoda
Nymphon stroemi,0.6338869,4.001188,0.06375899,0.6273063,191,Arthropoda
Nymphon subtile,0.1792219,5.100543,0,0.609375,30,Arthropoda
